slug, new_tags
todas-las-posibilidades-que-te-ofrece-utilizar-figshare-en-tus-proyectos,"[figshare, acceso, datos, archivos, proyectos, investigación, plataforma, resultados, productos, hasta]"
que-es-ciencia-ciudadana,"[ciencia, ciudadana, forma, personas, datos, ciudadanos, científicos, proyectos, investigación, especie]"
ethereum-merge-is-coming-pero-que-significa,"[ethereum, proof, of, merge, work, red, transacciones, bitcoin, stake, the]"
pyopensci-un-promotor-de-la-ciencia-abierta,"[pyopensci, comunidad, proyecto, abierta, paquetes, python, revisión, ciencia, datos, open]"
ya-probado-los-cuadernos-de-jupyter-te-explicamos-que-son-y-como-te-ayudaran-en-tu-proxima-investigacion,"[jupyter, código, cuadernos, web, uso, notebook, cuaderno, aplicación, muy, interfaz]"
que-necesitas-para-desarrollar-en-la-web3,"[web3, br, frontend, necesitas, contratos, vez, interactuar, desarrollo, billetera, blockchain]"
te-hablamos-del-uso-de-dashboards-para-visualizacion-de-datos-de-tu-proximo-proyecto,"[web, datos, también, código, forma, dashboard, dashboards, análisis, bastante, framework]"
si-ya-usas-codigo-abierto-te-contamos-como-puedes-sacarle-mayor-provecho-tu-documentacion-para-tus-articulos-y-publicaciones,"[documentación, código, proyecto, uso, usuarios, hace, frecuencia, también, forma, write]"
code-abbey-una-plataforma-mejorar-tu-habilidad-en-programacion,"[problemas, programación, code, plataforma, abbey, problema, código, mejorar, vez, respuesta]"
herramientas-de-visualizacion-en-r,"[gráficos, r, datos, paquete, visualización, funciones, motor, información, estadístico, gráfico]"
como-documentar-tu-proyecto-de-ciencia-abierta,"[proyecto, documentación, datos, ciencia, abierta, información, documentar, proceso, tiempo, sobre]"
que-es-el-data-version-control-dvc-y-por-que-es-necesario-que-tu-equipo-sepa-como-utilizarlo,"[datos, control, modelos, versiones, dvc, conjuntos, cambios, proyecto, herramientas, machine]"
la-importancia-de-la-integridad-en-los-datos-manejados-en-los-dashboards,"[datos, dashboards, integridad, información, gráficos, artículo, través, herramientas, código, manera]"
te-mostramos-cinco-librerias-en-python-para-tu-proximo-proyecto-de-ciencia-abierta,"[gráficos, ciencia, información, biblioteca, abierta, visualización, resultados, proyecto, hacer, datos]"
apache-superset,"[datos, superset, apache, gráfico, dashboard, crear, sql, columnas, base, explorar]"
dataverse-y-su-potencial-para-proyectos-de-ciencia-abierta,"[dataverse, datos, forma, trabajo, abierta, también, conjuntos, dataversos, uso, archivos]"
nft-mas-que-un-jpg,"[nft, dinero, tecnología, arte, artista, burbuja, hace, propiedad, imagen, nfts]"
tres-proyectos-de-ciencia-ciudadana-que-te-sorprenderan,"[proyectos, ciencia, científicos, ciudadana, especies, datos, investigaciones, basura, campo, mediante]"
te-ensenamos-lugares-para-aprender-los-fundamentos-de-la-ciencia-abierta,"[ciencia, abierta, open, datos, abierto, investigación, cuales, manual, también, uso]"
primeros-pasos-con-spyder,"[spyder, archivo, código, clic, barra, python, entorno, editor, variables, menú]"
