slug,category,tags
todo-lo-que-debes-saber-sobre-la-investigacion-colaborativa,"[open science/ open research]
[ciencia abierta/ investigación abierta]","[collaborative, teams]
[colaborativa, equipos]"
que-es-el-open-science-framework,[open science/open research][ciencia abierta/investigación abierta],"[osf,open science framework, projects, framework][osf, framework de ciencia abierta, proyectos, framework]"
como-presentar-tu-codigo-como-un-articulo-cientifico,"[open science/open source]
[ciencia abierta/código abierto]","[articles, publication, code, tools]
[artículos, publicación, código, herramientas]"
algunos-proyectos-de-ciencia-e-inteligencia-ciudadana-para-atender-la-pandemia-del-covid-19,[open science/citizen science][ciencia abierta/ciencia ciudadana],"[covid19, projects, citizen][covid19, proyectos, ciudadana]"
git-de-en-diez-sencillos-pasos,"[software development/version control]
[desarrollo de software/control de versiones]","[git, repositories, commits, github]
[git, repositorios, commits, github]"
que-son-los-laboratorios-sociales-y-como-pueden-ayudar-los-equipos-de-investigacion,[open science/citizen science][ciencia abierta/ciencia ciudadana],"[social labs, community][laboratorios sociales, comunidad]"
herramientas-de-visualizacion-en-python,"[programming languages/python]
[programming languages/python]","[visualization, libraries, code, tools]
[visualización, bibliotecas, código, herramientas]"
epigraphhub-un-proyecto-de-código-abierto-para-el-analisis-de-datos-de-calidad,[open science/open source] [ciencia abierta/código abierto],"[epigraphhub, visualization, analysis, data, epidemiology][epigraphhub, visualización, análisis, datos, epidemiología]"
que-hemos-aprendido-gracias-la-ciencia-abierta-del-manejo-de-pandemias,"[open science/open research]
[ciencia abierta/investigación abierta]","[pandemics, covid19]
[pandemias, covid19]"
que-es-el-codigo-abierto-y-como-puede-ayudarte,[open science/open source] [ciencia abierta/código abierto],"[code, software][código, software]"
te-mostramos-algunos-repositorios-con-datos-sobre-el-covid-19,"[open science/open data/open access]
[ciencia abierta, datos abiertos, acceso abierto]","[repositories, data, health]
[repositorios, datos, salud]"
aspectos-clave-en-el-manejo-de-equipos-de-ciencia-abierta,[organization/team management][organización/gestión de equipos],"[science, research][ciencia, investigación]"
todas-las-posibilidades-que-te-ofrece-utilizar-figshare-en-tus-proyectos,"[open science/open access]
[ciencia abierta/acceso abierto]","[figshare, projects, research, patform]
[figshare, proyectos, investigación, plataforma]"
que-es-ciencia-ciudadana,[open science/citizen science][ciencia abierta/ciencia ciudadana],"[citizen, science, community, research][ciudadana, ciencia, comunidad, investigación]"
